Site,Latitude,Longitude,Date,Air_Temperature,Wind_Speed_at_3m,DHI,DHI_Uncertainty,DNI,DNI_Uncertainty,GHI,GHI_Uncertainty,Relative_Humidity,Relative_Humidity_Uncertainty,Barometric_Pressure,Barometric_Pressure_Uncertainty,power_out_kwh,power_out_farm_kwh
Al Wajh - TVTC,26.256,36.443000000000005,2015-04-01,24.0,3.4,2325.0,338.2,7173.9,977.3,7495.8,5981.6,52.4,3.0,1010.0,5.1,361.253,22397710.559
Al Wajh - TVTC,26.256,36.443000000000005,2015-05-01,28.0,3.0,2562.7,459.9,6409.0,1242.2,7328.7,7328.7,53.9,3.0,1006.4,5.1,326.231,20226306.868
Al Wajh - TVTC,26.256,36.443000000000005,2015-06-01,28.0,3.4,2127.2,129.5,8151.6,521.5,8138.6,8138.6,64.0,3.0,1004.9,5.0,330.879,20514501.772
Al Wajh - TVTC,26.256,36.443000000000005,2015-07-01,29.7,3.4882626422417182,1677.3,154.0,8488.8,558.8,7861.0,464.6,68.6,3.0,1001.6,5.0,338.805,21005888.949
Al Wajh - TVTC,26.256,36.443000000000005,2015-08-01,31.6,3.8932785031064263,2652.6,201.5,5693.5,451.1,6944.9,430.8,68.5,3.0,1001.0,5.0,377.247,23389343.352
Al Wajh - TVTC,26.256,36.443000000000005,2015-09-01,30.2,3.8247777234361457,2061.5,171.4,5994.1,499.3,6250.9,414.9,69.1,3.0,1003.9,5.0,395.752,24536641.128
Al Wajh - TVTC,26.256,36.443000000000005,2015-10-01,28.8,3.696731367566745,1687.6,141.1,5733.7,490.2,5256.8,343.3,62.8,3.0,1007.1,5.0,420.191,26051861.792
Al Wajh - TVTC,26.256,36.443000000000005,2015-11-01,25.5,2.6,2016.4355555555558,210.94825396825382,6120.162539682542,584.3730158730162,6101.853724247233,535.5805071315365,49.0,3.1,1010.6,5.2,343.124,21273676.038
Al Wajh - TVTC,26.256,36.443000000000005,2015-12-01,20.3,2.9,1012.5,41.1,6647.4,220.8,4247.5,124.6,40.0,3.0,1015.9,5.1,442.747,27450288.633
Al Wajh - TVTC,26.256,36.443000000000005,2016-01-01,18.8,2.9,1395.7,65.6,5580.6,241.0,4228.4,136.8,44.5,3.0,1015.8,5.1,448.06,27779738.351
Al Wajh - TVTC,26.256,36.443000000000005,2016-02-01,21.4,2.8,1367.6,66.0,7198.4,246.8,5517.5,165.4,43.6,3.0,1014.0,5.1,391.506,24273376.882
Al Wajh - TVTC,26.256,36.443000000000005,2016-03-01,24.1,3.1,2079.7,85.2,5849.0,258.6,5860.7,182.2,49.5,3.0,1009.5,5.1,390.62,24218410.179
Al Wajh - TVTC,26.256,36.443000000000005,2016-04-01,26.7,2.6,1882.1,82.3,7652.7,283.9,7311.2,249.8,49.4,3.0,1007.4,5.1,295.421,18316084.332
Al Wajh - TVTC,26.256,36.443000000000005,2016-05-01,28.2,3.2,2112.9,80.6,7920.5,285.4,7982.2,248.1,55.7,3.0,1006.6,5.0,320.736,19885601.599
Al Wajh - TVTC,26.256,36.443000000000005,2016-06-01,31.1,2.9,1954.3,72.5,8561.4,280.3,8274.4,219.9,54.4,3.0,1003.2,5.0,277.762,17221273.333
Al Wajh - TVTC,26.256,36.443000000000005,2016-07-01,30.8,2.5,1628.6,61.5,8794.2,285.2,8038.0,232.1,65.5,3.0,1001.6,5.0,244.5,15158976.879
Al Wajh - TVTC,26.256,36.443000000000005,2016-08-01,30.4,0.4,2215.3,95.7,6767.4,344.0,7170.1,298.8,68.8,3.0,1002.7,5.0,-1144.188,-70939645.13
Al Wajh - TVTC,26.256,36.443000000000005,2016-09-01,29.0,3.3,1773.5,90.7,7145.7,355.5,6713.8,336.1,69.2,3.0,1004.9,5.0,361.694,22425023.281
Al Wajh - TVTC,26.256,36.443000000000005,2016-10-01,28.1,2.6,1595.3,51.1,6409.4,195.5,5597.1,157.1,59.2,3.0,1007.9,5.0,353.336,21906820.155
Al Wajh - TVTC,26.256,36.443000000000005,2016-11-01,25.7,2.6,1342.2,51.6,6173.8,217.8,4681.9,141.1,41.8,3.0,1011.8,5.1,394.102,24434333.914
Al Wajh - TVTC,26.256,36.443000000000005,2016-12-01,20.5,3.5628365547749716,1300.1,169.4,5575.7,636.9,4030.5,384.8,46.2,3.0,1013.6,5.1,473.623,29364633.22
Al Wajh - TVTC,26.256,36.443000000000005,2017-01-01,19.5,2.9,1323.6,457.4,5446.0,1488.6,4200.7,1006.9,47.2,3.0,1013.9,5.1,446.774,27699958.128
Al Wajh - TVTC,26.256,36.443000000000005,2017-02-01,19.3,3.0,1525.6,488.3,6045.2,1647.9,5057.4,1168.4,35.9,3.0,1014.3,5.1,424.978,26348661.781
Al Wajh - TVTC,26.256,36.443000000000005,2017-03-01,21.7,2.9,1725.0,687.6,5803.6,1776.5,5541.5,1339.3,52.4,3.0,1009.5,5.1,396.206,24564791.095
Al Wajh - TVTC,26.256,36.443000000000005,2017-04-01,25.3,3.968477629569861,2389.2,697.5,5170.5,1783.4,6136.7,1433.2,58.0,3.0,1007.1,5.0,419.388,26002076.264
Al Wajh - TVTC,26.256,36.443000000000005,2017-05-01,27.5,3.7018288142369222,2143.7,613.6,6746.4,1769.2,7123.6,1481.3,64.0,3.0,1005.3,5.0,376.792,23361116.717
Al Wajh - TVTC,26.256,36.443000000000005,2017-06-01,28.4,3.689703081026316,1764.6,456.2,7613.1,1756.2,7393.5,1468.4,69.4,3.0,1001.6,5.0,366.468,22721015.347
Al Wajh - TVTC,26.256,36.443000000000005,2017-09-01,28.8,3.825005086614972,2181.9,189.9,5805.2,414.6,6284.2,418.0,74.5,3.0,1003.6,5.0,399.317,24757683.027
Al Wajh - TVTC,26.256,36.443000000000005,2017-10-01,26.2,3.1699615576322238,1221.8,99.4,7260.9,488.0,5634.0,350.8,66.3,3.0,1007.3,5.0,394.752,24474593.168
Al Wajh - TVTC,26.256,36.443000000000005,2017-11-01,24.2,2.6,1275.5,62.7,6355.6,240.1,4630.7,145.3,50.1,3.0,1011.1,5.0,400.654,24840563.37
Al Wajh - TVTC,26.256,36.443000000000005,2018-03-01,24.1,2.7,1793.9,98.9,7248.1,285.7,6522.6,225.1,55.3,3.0,1009.5,5.1,340.991,21141448.118
Al Wajh - TVTC,26.256,36.443000000000005,2018-04-01,25.3,2.7,2354.4,101.3,6860.2,280.1,7375.2,266.5,56.4,3.0,1007.2,5.0,307.4,19058828.23
Al Wajh - TVTC,26.256,36.443000000000005,2018-05-01,29.8,2.8,2985.8,117.5,5446.4,258.5,7155.7,226.6,48.4,3.0,1005.1,5.0,309.952,19216993.583
Al Wajh - TVTC,26.256,36.443000000000005,2018-06-01,30.1,3.1,2297.0,104.4,7721.7,261.0,8075.8,225.8,58.8,3.0,1003.2,5.0,304.337,18868894.344
Al Wajh - TVTC,26.256,36.443000000000005,2018-07-01,30.8,3.661442617717899,2021.9,230.7,7514.8,563.9,7584.6,464.8,67.4,3.0,1001.0,5.0,352.569,21859263.346
Al Wajh - TVTC,26.256,36.443000000000005,2018-08-01,31.1,3.635957901219218,1617.3,138.5,7831.6,539.6,7246.9,449.9,71.3,3.0,1001.3,5.0,359.035,22260140.63
Al Jouf - TVTC,29.77634,40.023179999999996,2014-12-01,14.6,3.1,1275.0,51.8,5173.5,208.9,3651.3,118.8,52.0,3.0,941.8,4.7,487.675,30235840.683
Al Jouf - TVTC,29.77634,40.023179999999996,2015-01-01,10.9,3.8,1424.9,66.5,5031.1,232.0,3829.2,134.2,41.8,3.0,941.2,4.8,515.325,31950128.759
Al Jouf - TVTC,29.77634,40.023179999999996,2015-02-01,13.5,4.3,1782.0,84.0,5440.8,241.1,4807.0,168.4,35.4,3.0,937.3,4.7,496.778,30800241.423
Al Jouf - TVTC,29.77634,40.023179999999996,2015-03-01,17.9,4.4,2296.9,105.0,5617.5,251.5,5907.6,199.5,29.0,3.1,938.3,4.8,461.782,28630498.884
Al Jouf - TVTC,29.77634,40.023179999999996,2015-04-01,21.8,4.9,2680.0,128.5,6686.9,401.9,7428.1,425.0,21.5,3.0,936.8,4.7,433.209,26858987.245
Al Jouf - TVTC,29.77634,40.023179999999996,2015-05-01,28.6,4.3,2844.0,112.6,6830.3,254.0,7849.6,225.8,15.3,3.0,934.1,4.7,382.693,23726955.767
Al Jouf - TVTC,29.77634,40.023179999999996,2015-06-01,30.7,4.9,2054.9,107.6,8702.2,304.2,8436.7,269.5,17.2,3.0,932.4,4.7,385.925,23927327.091
Al Jouf - TVTC,29.77634,40.023179999999996,2015-07-01,34.6,4.1,1965.9,65.6,8769.7,316.3,8358.9,277.6,12.9,3.0,930.2,4.7,343.776,21314102.664
Al Jouf - TVTC,29.77634,40.023179999999996,2015-08-01,35.4,4.4,2579.9,108.4,6719.7,266.6,7421.1,214.1,14.1,3.0,932.2,4.7,374.547,23221937.708
Al Jouf - TVTC,29.77634,40.023179999999996,2015-09-01,33.1,3.6,2448.3,94.5,5818.5,246.1,6409.2,198.7,14.9,3.0,934.2,4.7,372.885,23118891.627
Al Jouf - TVTC,29.77634,40.023179999999996,2015-10-01,27.1,3.4,1886.3,67.5,5264.4,201.2,5103.2,155.5,30.7,3.0,937.0,4.6,418.05,25919122.836
Al Jouf - TVTC,29.77634,40.023179999999996,2015-11-01,16.9,3.9,1635.5,68.8,4206.9,225.8,3781.1,168.9,53.9,3.0,939.7,4.7,500.166,31010286.559
Al Jouf - TVTC,29.77634,40.023179999999996,2015-12-01,9.8,3.5,1198.8,49.2,5178.3,216.3,3576.5,111.0,54.3,3.0,943.1,4.7,517.426,32080400.626
Al Jouf - TVTC,29.77634,40.023179999999996,2016-01-01,10.3,3.7,1287.3,55.3,6154.1,221.5,4213.8,129.3,49.0,3.0,941.5,4.7,504.806,31297976.698
Al Jouf - TVTC,29.77634,40.023179999999996,2016-02-01,14.3,3.7,1262.0,56.5,7475.6,232.0,5347.5,151.1,38.6,3.0,941.4,4.7,463.344,28727314.034
Al Jouf - TVTC,29.77634,40.023179999999996,2016-03-01,18.1,4.7,2175.8,89.0,5884.6,258.8,5948.5,195.8,34.9,3.0,937.3,4.7,468.432,29042796.143
Al Jouf - TVTC,29.77634,40.023179999999996,2016-04-01,24.3,4.1,2277.8,98.6,7253.0,260.8,7395.3,213.0,22.1,3.0,935.4,4.7,398.197,24688228.025
Al Jouf - TVTC,29.77634,40.023179999999996,2016-05-01,27.8,4.5,2359.8,93.2,7851.0,270.0,8115.6,223.8,17.3,3.0,934.5,4.7,387.276,24011094.298
Al Jouf - TVTC,29.77634,40.023179999999996,2016-06-01,33.1,4.6,2245.5,89.9,8498.3,288.4,8536.2,227.6,12.2,3.0,932.2,4.7,365.764,22677395.016
Al Jouf - TVTC,29.77634,40.023179999999996,2016-07-01,34.2,4.7,1529.2,55.2,9661.3,315.1,8453.7,3550.6,15.4,3.0,929.1,4.7,367.713,22798229.188
Al Jouf - TVTC,29.77634,40.023179999999996,2016-08-01,35.3,3.9,2173.4,72.2,7312.8,250.2,7474.4,2210.2,13.9,3.0,930.7,4.7,353.137,21894505.665
Al Jouf - TVTC,29.77634,40.023179999999996,2016-09-01,30.6,3.6,1794.0,89.2,7398.8,339.2,6718.2,6689.1,18.2,3.0,934.1,4.7,372.594,23100828.472
Al Jouf - TVTC,29.77634,40.023179999999996,2016-10-01,25.8,3.0,1670.5,63.0,6154.1,222.2,5355.4,4343.2,18.3,3.0,937.0,4.7,395.263,24506317.65
Al Jouf - TVTC,29.77634,40.023179999999996,2016-11-01,16.4,3.4,1628.6,55.3,4846.7,206.5,4137.0,844.7,26.8,3.0,941.5,4.7,478.367,29658760.995
Al Jouf - TVTC,29.77634,40.023179999999996,2016-12-01,9.7,3.6,1375.1,117.3,4875.3,358.7,3614.0,287.8,51.5,3.0,941.8,4.7,519.436,32205055.456
Al Jouf - TVTC,29.77634,40.023179999999996,2017-01-01,9.7,3.8,1505.1,394.1,4813.8,1264.9,3830.0,836.6,42.5,3.0,940.8,4.7,519.058,32181587.915
Al Jouf - TVTC,29.77634,40.023179999999996,2017-02-01,9.9,4.1,1533.8,471.9,5815.4,1666.8,4767.7,1074.8,26.7,3.0,941.3,4.7,503.79,31235006.82
Al Jouf - TVTC,29.77634,40.023179999999996,2017-03-01,16.9,4.7,2227.6,669.4,5560.5,1676.5,5740.9,1255.3,35.9,3.0,935.8,4.7,476.359,29534251.889
Al Jouf - TVTC,29.77634,40.023179999999996,2017-04-01,22.3,4.6,2852.7,873.5,4059.5,1865.0,5726.0,1537.7,24.8,3.0,937.1,4.7,457.267,28350551.749
Al Jouf - TVTC,29.77634,40.023179999999996,2017-09-01,32.5,3.6,2436.7,193.7,5772.3,420.7,6433.7,483.9,14.8,3.0,934.1,4.7,374.119,23195368.745
Al Jouf - TVTC,29.77634,40.023179999999996,2017-10-01,24.8,3.4,1587.2,346.9,6530.3,958.9,5433.4,742.1,22.4,3.0,936.8,4.7,416.067,25796170.475
Al Jouf - TVTC,29.77634,40.023179999999996,2017-11-01,17.6,3.6,1851.0,586.1,4120.6,1466.6,3972.7,918.2,42.6,3.0,939.2,4.7,485.314,30089446.715
Al Jouf - TVTC,29.77634,40.023179999999996,2018-03-01,21.3,4.0,2252.1,99.2,6351.2,238.5,6314.3,201.2,22.7,3.0,936.9,4.7,428.855,26588999.376
Al Jouf - TVTC,29.77634,40.023179999999996,2018-04-01,22.4,4.5,2528.4,117.5,6491.3,287.4,7142.7,274.8,27.4,3.0,934.4,4.7,424.593,26324779.361
Al Jouf - TVTC,29.77634,40.023179999999996,2018-05-01,27.7,4.7,2944.4,119.0,5943.9,266.4,7350.8,239.9,21.4,3.0,933.7,4.7,410.215,25433357.8
Al Jouf - TVTC,29.77634,40.023179999999996,2018-06-01,32.0,4.8,2348.1,124.7,8113.2,285.2,8361.9,256.2,15.9,3.0,931.5,4.7,379.942,23556395.877
Al Jouf - TVTC,29.77634,40.023179999999996,2018-07-01,32.9,5.1,1991.9,84.0,8626.0,284.6,8295.6,247.0,16.8,3.0,929.6,4.7,388.038,24058361.754
Al Jouf - TVTC,29.77634,40.023179999999996,2018-08-01,32.3,5.0,1515.3,67.6,8978.7,278.6,7827.0,251.9,19.8,3.0,930.8,4.7,395.696,24533168.285
Yanbu - RCJY,23.98655,38.20451,2014-12-01,25.9,2.8,1453.1,53.1,5310.6,226.9,4226.4,145.8,52.6,3.0,1013.9,5.1,421.002,26102093.444
Yanbu - RCJY,23.98655,38.20451,2015-01-01,22.0,3.1,1392.8,58.7,6263.0,215.5,4752.5,132.3,44.2,3.0,1016.0,5.1,430.966,26719877.088
Yanbu - RCJY,23.98655,38.20451,2015-02-01,23.9,3.1,2026.8,66.8,5333.2,189.0,5331.5,154.9,55.0,3.0,1012.2,5.1,407.375,25257264.247
Yanbu - RCJY,23.98655,38.20451,2015-03-01,26.2,3.4,2275.6,73.9,5812.2,222.1,6315.7,179.6,54.9,3.0,1010.2,5.1,387.169,24004461.76
Yanbu - RCJY,23.98655,38.20451,2015-04-01,26.4,4.3,3027.5,115.3,5393.7,225.1,7010.7,212.0,50.5,3.0,1009.8,5.1,408.008,25296476.1
Yanbu - RCJY,23.98655,38.20451,2015-05-01,29.8,3.4,3072.9,102.7,5282.3,212.9,7149.3,254.0,58.8,3.0,1006.6,5.0,352.743,21870061.978
Yanbu - RCJY,23.98655,38.20451,2015-06-01,30.6,4.3,2743.9,119.7,6727.3,282.0,7824.3,297.8,54.5,3.0,1004.6,5.0,376.994,23373603.678
Yanbu - RCJY,23.98655,38.20451,2015-07-01,31.6,4.0,2070.9,131.3,7887.0,323.2,7952.7,373.2,59.7,3.0,1003.4,5.0,357.938,22192154.157
Yanbu - RCJY,23.98655,38.20451,2015-08-01,34.8,3.9,3047.8,95.4,4783.8,185.7,6767.9,188.1,53.9,3.0,1002.4,5.0,371.818,23052718.143
Yanbu - RCJY,23.98655,38.20451,2015-09-01,32.8,3.7,2692.4,79.2,4939.9,149.0,6318.1,172.3,55.7,3.0,1005.1,5.0,380.697,23603191.587
Yanbu - RCJY,23.98655,38.20451,2015-10-01,30.8,3.0,2032.4,61.9,5444.5,174.5,5590.8,148.4,60.7,3.0,1009.2,5.1,372.211,23077082.747
Yanbu - RCJY,23.98655,38.20451,2015-11-01,27.1,3.2,1551.7,58.3,5713.6,208.7,4762.0,135.0,51.5,3.0,1011.1,5.1,419.261,25994204.104
Yanbu - RCJY,23.98655,38.20451,2015-12-01,22.4,3.6,1513.8,61.3,5315.3,189.4,4234.1,113.8,42.2,3.0,1015.9,5.1,463.44,28733297.614
Yanbu - RCJY,23.98655,38.20451,2016-01-01,21.6,3.5,1648.8,58.4,5479.6,196.4,4603.1,125.8,42.9,3.0,1015.7,5.1,452.805,28073928.773
Yanbu - RCJY,23.98655,38.20451,2016-02-01,23.6,3.4,1658.6,63.7,6620.1,221.6,5635.1,154.5,43.2,3.0,1014.4,5.1,414.215,25681326.719
Yanbu - RCJY,23.98655,38.20451,2016-03-01,26.1,3.4,2554.3,85.8,4628.6,204.7,5790.3,172.5,50.4,3.0,1009.9,5.1,402.083,24929135.608
Yanbu - RCJY,23.98655,38.20451,2016-04-01,28.6,3.4,2232.2,77.0,6838.1,237.3,7261.2,196.1,47.5,3.0,1008.3,5.1,353.386,21909946.802
Yanbu - RCJY,23.98655,38.20451,2016-05-01,30.0,4.0,2214.8,69.9,7673.3,236.6,7949.1,216.2,54.8,3.0,1006.8,5.0,363.027,22507683.295
Yanbu - RCJY,23.98655,38.20451,2016-06-01,32.3,3.8,2676.9,91.1,6733.2,231.6,7829.2,208.2,55.8,2.9,1003.6,5.0,348.932,21633793.014
Yanbu - RCJY,23.98655,38.20451,2016-07-01,32.0,3.9,2398.2,96.3,6935.9,243.8,7612.5,225.9,61.7,3.0,1002.3,5.0,360.112,22326965.376
Yanbu - RCJY,23.98655,38.20451,2016-08-01,32.2,4.0,2659.5,99.9,5699.9,201.8,7001.8,236.0,60.9,3.0,1002.9,5.0,378.524,23468477.134
Yanbu - RCJY,23.98655,38.20451,2016-09-01,31.6,3.5,2430.4,137.6,5594.0,314.1,6455.4,344.2,62.2,3.0,1004.7,5.0,371.523,23034434.174
Yanbu - RCJY,23.98655,38.20451,2016-10-01,29.9,2.7,2086.0,63.7,5149.2,155.5,5458.7,155.3,65.1,3.0,1008.6,5.0,360.083,22325162.983
Yanbu - RCJY,23.98655,38.20451,2016-11-01,27.3,2.6,1449.0,56.3,6079.6,207.2,4860.8,142.3,44.2,2.8,1012.3,5.0,382.596,23720979.756
Yanbu - RCJY,23.98655,38.20451,2016-12-01,24.4,3.4916069187915433,1584.7,160.8,4632.8,559.7,4002.3,399.9,51.5,3.0,1014.1,5.1,460.008,28520499.033
Yanbu - RCJY,23.98655,38.20451,2017-01-01,22.4,2.4,1403.7,480.0,5130.4,1276.1,4068.4,1038.2,53.9,3.0,1014.2,5.1,414.398,25692666.589
Yanbu - RCJY,23.98655,38.20451,2017-02-01,21.6,3.5,1896.4,673.7,4096.8,1440.6,4398.5,1241.4,38.0,3.0,1014.4,5.1,458.329,28416389.446
Yanbu - RCJY,23.98655,38.20451,2017-03-01,24.5,3.6997274890990717,2165.1,686.0,4735.4,1459.7,5382.1,1205.1,61.5,3.0,1009.5,5.1,430.549,26694017.006
Yanbu - RCJY,23.98655,38.20451,2017-04-01,28.9,3.4143490063723796,2877.7,782.6,4572.9,1331.3,6373.5,1460.4,54.7,3.0,1008.1,5.0,377.862,23427463.749
Yanbu - RCJY,23.98655,38.20451,2017-05-01,30.9,3.3268923035306983,2776.8,648.9,5403.8,1548.4,6966.3,1497.4,59.9,3.0,1006.6,5.0,350.134,21708308.846
Yanbu - RCJY,23.98655,38.20451,2017-06-01,32.2,3.3466108675181268,2320.3,166.9,6651.6,471.2,7400.9,446.5,63.0,3.0,1002.3,5.0,334.963,20767725.96
Yanbu - RCJY,23.98655,38.20451,2017-09-01,32.5,0.0,2707.0,138.5,4926.1,253.4,6309.4,294.2,56.4,3.0,1004.7,5.0,NULL,NULL
Yanbu - RCJY,23.98655,38.20451,2017-10-01,30.1,3.290087265033762,1612.0,113.6,6353.0,425.8,5677.5,352.9,66.9,3.0,1008.1,5.1,387.436,24021044.933
Yanbu - RCJY,23.98655,38.20451,2017-11-01,26.5,0.0,1566.3,256.8,5473.5,543.6,4643.4,458.5,56.0,3.3,1011.7,5.5,NULL,NULL
Yanbu - RCJY,23.98655,38.20451,2018-03-01,27.3,3.3344532257832107,1951.4,149.7,6653.8,488.7,6473.9,394.2,53.6,3.0,1009.4,5.1,375.795,23299302.24
Yanbu - RCJY,23.98655,38.20451,2018-04-01,26.8,0.0,2414.7,104.6,6962.9,286.4,7540.4,244.7,56.5,3.0,1007.9,5.0,NULL,NULL
Yanbu - RCJY,23.98655,38.20451,2018-05-01,31.5,0.0,3416.5,160.5,5288.5,366.6,7572.4,355.7,44.0,3.0,1005.7,5.0,NULL,NULL
Yanbu - RCJY,23.98655,38.20451,2018-06-01,32.0,0.0,2673.0,233.5,6763.5,550.6,7806.4,583.5,52.8,3.0,1002.9,5.0,NULL,NULL
Thuwal - KAUST,22.3065,39.107,2013-06-01,31.0,2.4,2607.0,250.3,6556.3,534.3,7614.5,509.1,62.6,3.0,1001.3,5.0,247.889,15369124.596
Thuwal - KAUST,22.3065,39.107,2013-07-01,31.6,2.4,2946.7,253.1,5138.9,415.8,7025.1,442.0,68.4,3.0,999.1,5.0,269.217,16691484.207
Thuwal - KAUST,22.3065,39.107,2013-08-01,32.0,2.5,2780.7,224.7,4874.9,397.8,6556.1,414.0,69.2,3.0,1000.9,5.0,296.756,18398862.399
Thuwal - KAUST,22.3065,39.107,2013-09-01,31.1,2.4,2596.4,232.0,4684.5,445.1,6109.1,485.6,75.1,3.0,1002.6,5.0,306.845,19024365.033
Thuwal - KAUST,22.3065,39.107,2013-10-01,29.2,2.1,1995.1,313.2,5143.5,577.4,5439.2,587.9,75.2,3.0,1006.5,5.0,308.569,19131297.514
Thuwal - KAUST,22.3065,39.107,2013-11-01,27.9,2.2,1374.7,117.0,5886.0,526.1,4753.3,358.3,57.3,3.0,1008.0,5.1,353.219,21899555.019
Thuwal - KAUST,22.3065,39.107,2013-12-01,24.6,2.4,1417.4,113.3,5412.7,396.7,4351.0,280.6,54.6,3.0,1011.9,5.1,396.391,24576246.468
Thuwal - KAUST,22.3065,39.107,2014-01-01,24.4,2.2,1754.7,200.3,4317.6,479.5,4141.3,362.8,61.9,3.0,1011.1,5.1,390.45,24207919.662
Thuwal - KAUST,22.3065,39.107,2014-02-01,24.9,2.4,1889.1,167.3,5479.1,478.8,5343.0,341.4,58.2,3.0,1009.4,5.1,356.397,22096634.243
Thuwal - KAUST,22.3065,39.107,2014-03-01,25.5,2.6,2396.4,222.6,5209.2,472.9,6070.9,422.1,67.9,3.0,1008.0,5.0,344.249,21343420.975
Thuwal - KAUST,22.3065,39.107,2014-04-01,28.3,2.7,2807.9,218.9,4775.9,500.5,6435.1,445.9,66.9,3.0,1006.4,5.0,330.917,20516877.391
Thuwal - KAUST,22.3065,39.107,2014-05-01,28.9,2.6,2820.2,246.7,5621.5,508.6,7127.7,460.9,71.4,3.0,1005.0,5.0,295.209,18302943.668
Thuwal - KAUST,22.3065,39.107,2014-06-01,30.2,2.7,2748.3,238.0,6142.6,547.4,7509.2,467.6,73.3,3.0,1002.1,5.0,287.386,17817920.971
Thuwal - KAUST,22.3065,39.107,2014-07-01,31.6,2.6,2498.8,279.9,6229.9,641.3,7318.7,710.2,71.0,3.0,1002.2,5.0,279.823,17349024.343
Thuwal - KAUST,22.3065,39.107,2014-08-01,32.1,2.6,2499.5,195.2,5654.5,490.4,6858.6,453.0,73.4,3.0,1001.1,5.0,294.98,18288766.533
Thuwal - KAUST,22.3065,39.107,2014-09-01,30.5,2.5,2524.5,204.6,4925.4,388.1,6172.1,378.0,78.4,3.0,1003.7,5.0,315.961,19589566.023
Thuwal - KAUST,22.3065,39.107,2014-10-01,29.2,2.3,1765.5,138.6,5924.4,397.6,5652.0,351.4,77.2,3.0,1007.8,5.0,321.108,19908719.677
Thuwal - KAUST,22.3065,39.107,2014-11-01,27.0,2.3,1406.6,121.7,5910.2,474.5,4789.0,318.7,62.2,3.0,1010.1,5.1,363.443,22533466.272
Thuwal - KAUST,22.3065,39.107,2014-12-01,26.3,2.2,1392.5,103.7,5475.7,377.9,4367.1,264.2,67.4,3.0,1011.9,5.1,374.81,23238213.187
Thuwal - KAUST,22.3065,39.107,2015-01-01,23.1,2.6,1469.2,121.7,5898.9,474.6,4744.1,307.5,61.8,3.0,1013.8,5.1,399.973,24798351.918
Thuwal - KAUST,22.3065,39.107,2015-02-01,24.4,2.5,1904.6,148.2,5624.2,431.2,5449.2,345.6,72.5,3.0,1010.2,5.1,362.361,22466411.427
Thuwal - KAUST,22.3065,39.107,2015-03-01,26.0,2.5,2543.2,194.7,4710.5,431.9,5911.7,401.7,74.8,3.0,1008.5,5.1,339.877,21072365.502
Thuwal - KAUST,22.3065,39.107,2015-04-01,26.3,2.8,3230.1,266.3,4456.9,482.1,6680.4,436.3,70.9,3.0,1008.1,5.1,336.938,20890129.892
Thuwal - KAUST,22.3065,39.107,2015-05-01,29.5,2.5,3170.7,235.4,4747.2,418.2,6863.7,437.1,73.0,3.0,1004.9,5.0,292.949,18162830.67
Thuwal - KAUST,22.3065,39.107,2015-06-01,29.7,2.5,3079.7,274.0,5552.6,555.7,7353.6,470.2,74.4,3.0,1003.0,5.0,273.807,16976052.121
Thuwal - KAUST,22.3065,39.107,2015-07-01,31.3,2.5,2544.8,193.9,6328.0,504.8,7424.9,450.1,71.4,3.0,1002.0,5.0,266.108,16498716.174
Thuwal - KAUST,22.3065,39.107,2015-08-01,33.0,2.7,3251.3,238.2,4050.8,391.9,6482.0,417.4,79.5,3.0,1000.9,5.0,314.576,19503737.289
Thuwal - KAUST,22.3065,39.107,2015-09-01,32.0,2.5,2800.9,204.7,4470.5,322.2,6139.5,377.0,80.7,3.0,1003.6,5.0,312.501,19375092.912
Thuwal - KAUST,22.3065,39.107,2015-10-01,30.7,0.1,2196.5,165.7,4822.4,367.0,5409.6,349.0,76.5,3.0,1007.3,5.0,-4562.866,-282897661.281
Thuwal - KAUST,22.3065,39.107,2015-11-01,27.9,0.4,1549.8,138.1,5461.2,447.4,4725.4,304.8,72.7,3.0,1009.1,5.0,-558.875,-34650279.34
Thuwal - KAUST,22.3065,39.107,2015-12-01,24.3,2.7,1704.5,140.5,3949.7,405.8,3840.6,274.3,61.8,3.0,1013.5,5.1,434.225,26921930.979
Thuwal - KAUST,22.3065,39.107,2016-01-01,23.1,2.7,1860.7,154.3,4496.8,395.4,4414.8,290.6,67.4,3.0,1013.4,5.0,417.883,25908753.992
Thuwal - KAUST,22.3065,39.107,2016-02-01,24.5,2.7,1930.4,159.2,5496.7,478.2,5339.1,350.3,64.7,3.0,1012.1,5.1,381.158,23631781.07
Thuwal - KAUST,22.3065,39.107,2016-03-01,26.5,2.7,2537.5,214.3,4970.4,507.8,6040.3,406.4,77.0,3.0,1008.0,5.1,350.363,21722532.75
Thuwal - KAUST,22.3065,39.107,2016-04-01,29.0,2.7,2348.5,202.9,6163.7,511.2,6923.1,436.6,68.3,3.0,1006.3,5.0,311.65,19322302.936
Thuwal - KAUST,22.3065,39.107,2016-05-01,30.2,2.6,2370.6,169.7,6730.3,465.0,7541.1,449.0,77.8,3.0,1005.2,5.0,276.119,17119387.196
Thuwal - KAUST,22.3065,39.107,2016-06-01,31.2,2.6,2864.3,259.2,5748.6,451.0,7365.2,453.8,81.6,3.0,1002.1,5.0,279.384,17321814.698
Thuwal - KAUST,22.3065,39.107,2016-07-01,32.4,2.6,2744.9,235.2,5330.2,506.2,6869.0,450.0,79.1,3.0,1000.8,5.0,293.664,18207160.13
